Name_lang,ID,ParentUiMapID,Flags,System,Type,Field_1_14_4_50252_006,Field_1_14_4_50252_007,Field_1_14_4_50252_008,Field_1_14_4_50252_009,Field_1_14_4_50252_010,Field_1_14_4_50252_011,Field_1_14_4_50252_012,Field_1_14_4_50252_013
"End Time",406,401,0,0,4,0,0,0,0,0,0,0,0
"Darkmoon Island",407,947,0,0,6,0,0,0,0,0,0,0,0
"Dragon Soul",409,71,0,0,4,0,0,0,0,0,0,0,0
"Dragon Soul",410,409,0,0,4,0,0,0,0,0,0,0,0
"Dragon Soul",411,409,0,0,4,0,0,0,0,0,0,0,0
"Dragon Soul",412,409,0,0,4,0,0,0,0,0,0,0,0
"Dragon Soul",413,409,0,0,4,0,0,0,0,0,0,0,0
"Dragon Soul",414,409,0,0,4,0,0,0,0,0,0,0,0
"Dragon Soul",415,409,0,0,4,0,0,0,0,0,0,0,0
"Dustwallow Marsh",416,70,0,0,6,0,0,0,0,0,0,0,0
"Temple of Kotmogu",417,390,0,0,6,0,0,0,0,0,0,0,0
"Krasarang Wilds",418,424,6,0,3,0,0,0,0,0,0,81,90
"Ruins of Ogudei",419,418,0,0,5,0,0,0,0,0,0,0,0
"Ruins of Ogudei",420,418,0,0,5,0,0,0,0,0,0,0,0
"Ruins of Ogudei",421,418,0,0,5,0,0,0,0,0,0,0,0
"Dread Wastes",422,424,6,0,3,0,0,0,0,0,0,84,90
"Silvershard Mines",423,224,0,0,4,0,0,0,0,0,0,0,0
Pandaria,424,947,0,0,2,0,0,0,0,0,0,0,0
Northshire,425,37,0,0,3,0,0,0,0,0,0,0,0
"Echo Ridge Mine",426,37,0,0,5,0,0,0,0,0,0,0,0
"Coldridge Valley",427,27,0,0,6,0,0,0,0,0,0,0,0
"Frostmane Hovel",428,27,0,0,5,0,0,0,0,0,0,0,0
"Temple of the Jade Serpent",429,371,0,0,4,0,0,0,0,0,0,0,0
"Temple of the Jade Serpent",430,371,0,0,4,0,0,0,0,0,0,0,0
"Scarlet Halls",431,18,0,0,4,0,0,0,0,0,0,0,0
"Scarlet Halls",432,18,0,0,4,0,0,0,0,0,0,0,0
"The Veiled Stair",433,424,6,0,3,0,0,0,0,0,0,0,0
"The Ancient Passage",434,379,0,0,5,0,0,0,0,0,0,0,0
"Scarlet Monastery",435,18,0,0,4,0,0,0,0,0,0,0,0
"Scarlet Monastery",436,18,0,0,4,0,0,0,0,0,0,0,0
"Gate of the Setting Sun",437,390,0,0,4,0,0,0,0,0,0,0,0
"Gate of the Setting Sun",438,390,0,0,4,0,0,0,0,0,0,0,0
"Stormstout Brewery",439,376,0,0,4,0,0,0,0,0,0,0,0
"Stormstout Brewery",440,376,0,0,4,0,0,0,0,0,0,0,0
"Stormstout Brewery",441,376,0,0,4,0,0,0,0,0,0,0,0
"Stormstout Brewery",442,376,0,0,4,0,0,0,0,0,0,0,0
"Shado-Pan Monastery",443,379,0,0,4,0,0,0,0,0,0,0,0
"Shado-Pan Monastery",444,443,0,0,4,0,0,0,0,0,0,0,0
"Shado-Pan Monastery",445,443,0,0,4,0,0,0,0,0,0,0,0
"Shado-Pan Monastery",446,443,0,0,4,0,0,0,0,0,0,0,0
"A Brewing Storm",447,371,0,0,6,0,0,0,0,0,0,0,0
"The Jade Forest",448,371,0,0,6,0,0,0,0,0,0,0,0
"Temple of Kotmogu",449,390,0,0,6,0,0,0,0,0,0,0,0
"Unga Ingoo",450,418,0,0,6,0,0,0,0,0,0,0,0
"Assault on Zan'vess",451,422,0,0,6,0,0,0,0,0,0,0,0
"Brewmoon Festival",452,379,0,0,6,0,0,0,0,0,0,0,0
"Mogu'shan Palace",453,390,0,0,4,0,0,0,0,0,0,0,0
"Mogu'shan Palace",454,390,0,0,4,0,0,0,0,0,0,0,0
"Mogu'shan Palace",455,390,0,0,4,0,0,0,0,0,0,0,0
"Terrace of Endless Spring",456,433,0,0,6,0,0,0,0,0,0,0,0
"Siege of Niuzao Temple",457,388,0,0,4,0,0,0,0,0,0,0,0
"Siege of Niuzao Temple",458,457,0,0,4,0,0,0,0,0,0,0,0
"Siege of Niuzao Temple",459,457,0,0,4,0,0,0,0,0,0,0,0
Shadowglen,460,57,6,0,3,0,0,0,0,0,0,0,0
"Valley of Trials",461,1,6,0,3,0,0,0,0,0,0,0,0
"Camp Narache",462,7,6,0,3,0,0,0,0,0,0,0,0
"Echo Isles",463,1,6,0,3,0,0,0,0,0,0,0,0
"Spitescale Cavern",464,1,0,0,5,0,0,0,0,0,0,0,0
Deathknell,465,18,6,0,3,0,0,0,0,0,0,0,0
"Night Web's Hollow",466,18,0,0,5,0,0,0,0,0,0,0,0
"Sunstrider Isle",467,94,6,0,3,0,0,0,0,0,0,0,0
"Ammen Vale",468,97,6,0,3,0,0,0,0,0,0,0,0
"New Tinkertown",469,27,6,0,3,0,0,0,0,0,0,0,0
"Frostmane Hold",470,27,0,0,5,0,0,0,0,0,0,0,0
"Mogu'shan Vaults",471,390,0,0,4,0,0,0,0,0,0,0,0
"Mogu'shan Vaults",472,390,0,0,4,0,0,0,0,0,0,0,0
"Mogu'shan Vaults",473,390,0,0,4,0,0,0,0,0,0,0,0
"Heart of Fear",474,422,0,0,4,0,0,0,0,0,0,0,0
"Heart of Fear",475,422,0,0,4,0,0,0,0,0,0,0,0
Scholomance,476,22,0,0,4,0,0,0,0,0,0,0,0
Scholomance,477,22,0,0,4,0,0,0,0,0,0,0,0
Scholomance,478,22,0,0,4,0,0,0,0,0,0,0,0
Scholomance,479,22,0,0,4,0,0,0,0,0,0,0,0
"Proving Grounds",480,379,0,0,4,0,0,0,0,0,0,0,0
"Crypt of Forgotten Kings",481,379,0,0,4,0,0,0,0,0,0,0,0
"Crypt of Forgotten Kings",482,379,0,0,4,0,0,0,0,0,0,0,0
"Dustwallow Marsh",483,70,0,0,6,0,0,0,0,0,0,0,0
"Krasarang Wilds",486,418,0,0,6,0,0,0,0,0,0,0,0
"A Little Patience",487,418,0,0,6,0,0,0,0,0,0,0,0
"Dagger in the Dark",488,433,0,0,6,0,0,0,0,0,0,0,0
"Dagger in the Dark",489,379,0,0,4,0,0,0,0,0,0,0,0
"Black Temple",490,104,0,0,4,0,0,0,0,0,0,0,0
"Black Temple",491,490,0,0,4,0,0,0,0,0,0,0,0
"Black Temple",492,490,0,0,4,0,0,0,0,0,0,0,0
"Black Temple",493,490,0,0,4,0,0,0,0,0,0,0,0
"Black Temple",494,490,0,0,4,0,0,0,0,0,0,0,0
"Black Temple",495,490,0,0,4,0,0,0,0,0,0,0,0
"Black Temple",496,490,0,0,4,0,0,0,0,0,0,0,0
"Black Temple",497,490,0,0,4,0,0,0,0,0,0,0,0
"Krasarang Wilds",498,418,0,0,6,0,0,0,0,0,0,0,0
"Deeprun Tram",499,84,0,0,4,0,0,0,0,0,0,0,0
"Deeprun Tram",500,84,0,0,4,0,0,0,0,0,0,0,0
Dalaran,501,13,0,0,4,0,0,0,0,0,0,0,0
Dalaran,502,13,0,0,4,0,0,0,0,0,0,0,0
"Brawl'gar Arena",503,85,0,0,4,0,0,0,0,0,0,0,0
"Isle of Thunder",504,424,6,0,3,0,0,0,0,0,0,85,90
"Lightning Vein Mine",505,504,0,0,5,0,0,0,0,0,0,0,0
"The Swollen Vault",506,504,0,0,5,0,0,0,0,0,0,0,0
"Isle of Giants",507,424,6,0,3,0,0,0,0,0,0,85,90
"Throne of Thunder",508,504,0,0,4,0,0,0,0,0,0,0,0
"Throne of Thunder",509,504,0,0,4,0,0,0,0,0,0,0,0
"Throne of Thunder",510,504,0,0,4,0,0,0,0,0,0,0,0
"Throne of Thunder",511,504,0,0,4,0,0,0,0,0,0,0,0
"Throne of Thunder",512,504,0,0,4,0,0,0,0,0,0,0,0
"Throne of Thunder",513,504,0,0,4,0,0,0,0,0,0,0,0
"Throne of Thunder",514,504,0,0,4,0,0,0,0,0,0,0,0
"Throne of Thunder",515,504,0,0,4,0,0,0,0,0,0,0,0
"Isle of Thunder",516,424,2,0,6,0,0,0,0,0,0,0,0
"Lightning Vein Mine",517,516,0,0,5,0,0,0,0,0,0,0,0
"Thunder King's Citadel",518,504,0,0,4,0,0,0,0,0,0,0,0
"Deepwind Gorge",519,376,0,0,6,0,0,0,0,0,0,0,0
"Vale of Eternal Blossoms",520,390,0,0,6,0,0,0,0,0,0,0,0
"Vale of Eternal Blossoms",521,390,0,0,4,0,0,0,0,0,0,0,0
"The Secrets of Ragefire",522,85,0,0,4,0,0,0,0,0,0,0,0
"Dun Morogh",523,27,0,0,6,0,0,0,0,0,0,0,0
"Battle on the High Seas",524,12,0,0,6,0,0,0,0,0,0,0,0
"Timeless Isle",554,424,6,0,3,0,0,0,0,0,0,85,90
"Cavern of Lost Spirits",555,554,0,0,5,0,0,0,0,0,0,0,0
"Siege of Orgrimmar",556,390,0,0,4,0,0,0,0,0,0,0,0
"Siege of Orgrimmar",557,556,0,0,4,0,0,0,0,0,0,0,0
"Siege of Orgrimmar",558,556,0,0,4,0,0,0,0,0,0,0,0
"Siege of Orgrimmar",559,556,0,0,4,0,0,0,0,0,0,0,0
"Siege of Orgrimmar",560,556,0,0,4,0,0,0,0,0,0,0,0
"Siege of Orgrimmar",561,556,0,0,4,0,0,0,0,0,0,0,0
"Siege of Orgrimmar",562,556,0,0,4,0,0,0,0,0,0,0,0
"Siege of Orgrimmar",563,556,0,0,4,0,0,0,0,0,0,0,0
"Siege of Orgrimmar",564,556,0,0,4,0,0,0,0,0,0,0,0
"Siege of Orgrimmar",565,556,0,0,4,0,0,0,0,0,0,0,0
"Siege of Orgrimmar",566,556,0,0,4,0,0,0,0,0,0,0,0
"Siege of Orgrimmar",567,556,0,0,4,0,0,0,0,0,0,0,0
"Siege of Orgrimmar",568,556,0,0,4,0,0,0,0,0,0,0,0
"Siege of Orgrimmar",569,556,0,0,4,0,0,0,0,0,0,0,0
"Siege of Orgrimmar",570,556,0,0,4,0,0,0,0,0,0,0,0
"Celestial Tournament",571,554,0,0,6,0,0,0,0,0,0,0,0
Cosmic,946,0,2432,0,0,0,0,0,0,0,0,0,0
Azeroth,947,946,2304,0,1,0,0,0,0,0,0,0,0
"The Maelstrom",948,947,0,0,2,0,0,0,0,0,0,0,0
Outland,987,0,2052,1,2,0,0,0,0,0,0,0,0
Northrend,988,0,4,1,2,0,0,0,0,0,0,0,0
Undercity,998,13,4,0,3,0,0,0,0,0,0,0,0
"Halls of Stone",1375,120,0,0,4,0,0,0,0,0,0,0,0
"Eastern Kingdoms",1463,0,0,1,2,0,0,0,0,0,0,0,0
Kalimdor,1464,0,0,1,2,0,0,0,0,0,0,0,0
Outland,1467,946,4,0,2,0,0,0,0,0,0,0,0
"Serpentshrine Cavern",1554,102,0,0,4,0,0,0,0,0,0,0,0
"Tempest Keep",1555,109,0,0,4,0,0,0,0,0,0,0,0
Wintergrasp,2104,947,0,0,3,0,0,0,0,0,0,0,0
"Tol Barad",2340,947,0,0,3,0,0,0,0,0,0,84,85
Pandaria,2473,0,4,1,2,0,0,0,0,0,0,0,0
